Reviewer Name,Review Date,Verified Purchase,Helpful Count,Review
"SIDDHARTH KHANNA  (Mumbai , India)",14-Feb-18,Verified Purchase,16 people found this helpful,"i recived defeated and lots of scratches on back and strep look like very old.. look wise watch is super dashing look but i recived non working watched So returned..cloudtale india is really good seller they took action immediately they really give first preference to there costomers..
  Read more"
Ramm,23-Nov-15,Verified Purchase,35 people found this helpful,"Mouth Watering Dark FAnTasY!! Just go for it!
  Read more"
Namitha,25-Aug-18,Verified Purchase,10 people found this helpful,"Best purchase
  Read more"
Dinz,07-Mar-19,Verified Purchase,6 people found this helpful,"This watch is really awesome and looks so elegant. One of the Best watch from fossil. I really loved this. And got this delivered on time. 100% satisfied with the product. Thank you amazon ☺️
  Read more"
Amazon Customer,16-Jul-17,Verified Purchase,7 people found this helpful,"This watch is not at all like how it looks in the pic.. the real look is far far worth dan in the pic. Looks very very good directly. Very elegant n stylish at d same time. Must have in your collection..
  Read more"
Coolguy 58,23-Nov-18,Verified Purchase,One person found this helpful,"Received it in poorly packaged condition and looked as though it had been opened and sealed again in a hurry. Seal looked like it was open.Returned it and requested a replacement and the second time it was all fine.About the product, extremely happy and has the premium look, with regards to the design, weight, feel that all costly watches have.
  Read more"
Richard,02-Dec-18,Verified Purchase,3 people found this helpful,"Defective product. The chronograph seconds hand stuck and stops 2 seconds past 12o’clock position. Never expected this from  a renowned brand like Fossil. Will never buy Fossil again.
  Read more"
S Subramanian,10-Oct-18,Verified Purchase,2 people found this helpful,"I never use to wear watch for last 2 years and then I decided to buy one this year. So I bought this on January 2018. Its worth the money and the watch looks so classy and rich. Its admirable and grabs attraction easily from your fellows. This is my first review in Amazon and I would strongly recommend this watch.
  Read more"
Tauseef,13-Apr-19,Verified Purchase,3 people found this helpful,"Nice watch by fossil
  Read more"
Sridevi R,28-Nov-18,Verified Purchase,,"Black color fossil watch deliverd to me instead of this watch.. only change is the color.. I dint like it.. I suggest to visit the fossil show room before buying this watch..
  Read more"
premraj,09-Apr-19,Verified Purchase,3 people found this helpful,"I have received a defective product. Poor quality
  Read more"
I will change the number my new number 8297392323,16-Feb-19,Verified Purchase,,"Fossil watches excellent product
  Read more"
Arun  Nair,11-Jan-19,Verified Purchase,,"Love the style..very clean ergonomic watch
  Read more"
Amazon Customer,11-Jan-19,Verified Purchase,,"Analog features not working as expected
  Read more"
prabal arora,20-Dec-18,Verified Purchase,,"Awesome product..loved this classic watch
  Read more"
Shrikesh,10-Jan-19,Verified Purchase,17 people found this helpful,"To he honest this is one of the best looking watch. Someone will definitely nitice and ask you about it. Only problem is battery. It will last for normal usage 12-14 hour but if you connected with internet then it will hardly supoort 4 hour. But still not bad. Overall like it.
  Read more"
Siva M,02-Jun-19,Verified Purchase,4 people found this helpful,"After using it for little more than a month, the back cover came out and hung from tiny ribbon connector attached to the watch and the watch stopped working. The UI responsiveness became laggy over time. While the watch provides several fitness related functions and the build quality is acceptable, it is disappointing to see the watch from a prestigious brand die in a very short time after spending a huge money on it. Few days before the watch became fully nonfunctional the charging dock started giving problem. To make it charge properly I had to press the dock and watch bottom together firmly or keep a heavy book or something alike on the watch kept on a table. At times even this setup won’t work making you rely on your luck. At the end it’s not worth the trouble going through. After several research, I found that all these problems I faced are very common in this model and realized I shouldn’t have bought it at all. The service support wasn’t that helpful though. Now the watch is happily sitting as a paperweight on my desk.
  Read more"
D'Serius Buyer,17-Feb-19,Verified Purchase,5 people found this helpful,"Returning it. I have used this devise for a whole month now and I have faced time and again issues with the touch interface not being responsive to inputs at all on multiple occasions. I want something that can work reliably every time. The watch looks amazing and had decent battery backup for a smart watch but this is too big a bug for me to own it. Software from wear os has a long way to go for fossil smart watches.
  Read more"
Jagjit Singh,17-Feb-19,Verified Purchase,2 people found this helpful,"So far my experience is concerned Android wear smartwatch are the best watches . I love Fossil smartwatches.  As far as Fossil Gen 4 is concerned it's great in all aspects, but I am not sure weather one can receive or make calls via Fossil Gen 4 smartwatch.
  Read more"
Mihir,18-Mar-19,Verified Purchase,One person found this helpful,"I have used other fitness trackers and smartwatches before and by far this has been the the easiest to use. I mainly bought this smart watch with the motive of it acting as my fitness tracker along with providing me with all the goodness of a smartwatch. And turns out, it fits the requirement just right!It allows me to not only set personal goals in terms of move minutes, heart points, step count etc via google fit but also keep a check on if I am meeting my goals or not. I can log my workouts in, the calories and try out breathing exercises in order to accomplish my fitness goals. It also allows me to keep a track on my water intake, my sleep and even wake me up by vibrating on my wrist with the inbuilt alarm option. If you're someone who's looking to make a change in your everyday lifestyle without losing on the style quotient - this smartwatch will be your best companion.
  Read more"
Somesh Miglani,28-Feb-19,Verified Purchase,,"The Fossil Q Gen 4 is the best & a beast among the smart & fitness sport watches available right now.It has a good built quality & a fantastic design. The watch is very durable, has a good battery life. The watch also seems to be heavy watch on paper, but on the daily use it does not feel heavy. The available dials are so cool & best looking. As far as the fitness side is concerned, it's an awesome device to monitor steps, running and heart rate.I HIGHLY RECOMMEND YOU TO BUY THIS WATCH If YOU REALLY NEED A SMART & A FITNESS SPORTS GEAR.
  Read more"
Pradeep lolla,03-Feb-19,Verified Purchase,2 people found this helpful,"Full waste of money and heating problem and battery percentage was very highly loosing
  Read more"
shyamal kanungo,03-Feb-19,Verified Purchase,2 people found this helpful,"It always hangs. Battery drains very fast
  Read more"
Vikram Kirtikar,19-Jun-19,Verified Purchase,7 people found this helpful,"From the house of Fossil which makes designer watches, their newest baby comes in the form of the Fossil sport smartwatch. A light weight, smart looking, smartwatch which comes with a ton of features in it. Battery last for one and a half day easily. This can be achieved by keeping the always on display feature as it utilizes the advantage of an OLED display that only lights up what is required and not the entire screen when in standby mode. Another way to increase battery life is to be selective about the apps that we receive notifications from. We do not need notifications from all apps. Charging is easy and fast and fast means fast, that is within 1 hour to full charge with wireles charging. You just have to keep it on the charger provided. The heart rate monitor works great checking the heart rate at regular time intervals.The best part is the media control. Although you can download specific apps the inbuilt media control app is convenient. Play a song on your phone and the media app on the watch detects it instantaneously and then we don't touch our phone. Messages from different apps can be replied to via the watch itself. It detects voice well for Google assistant as well as speech to text. The watch is 5atm so no problem if rain or sweat. The sport part of the watch is pretty evident in its weight and the Google fit app doesn't disappoint. Let me be honest that I am not into much workout but the watch helps keep a track of my daily activity in terms of steps and the Google fit point system does motivate to achieve more. The difference is noticeable as I prefer walking more now to then see my watch appreciate my efforts. I commute daily in crowded trains. This watch is convenient and functional and does not require much effort in use. Wear Os is not the most perfect software yet and the one star less in the rating is for that, but the small glitches barely interfere with the usage of this watch. I have used the Sony smartwatch 2 prior to this and the evolution of smartwatches is very much evident when I use this Fossil smartwatch.To conclude the Fossil sport smartwatch is a watch for someone who is looking at getting a functional timepiece & more but does not want to compromise on looks, the feel and the design. With a very smart profile functionally and with looks, the Fossil sport smartwatch is the one to keep and keep on using. At the price point its a steal.
  Read more"
Justin siby,16-Jun-19,Verified Purchase,8 people found this helpful,"I’m using this Watch with an iPhone.The watch works fine with an iPhone but some of the features that we get when we connect to an android phone is missing. Watch will receive notification from iPhone but cannot reply back to a message from the watch itself. Google maps can be installed on the watch but to use it you will need an android device. My watch easily last for at-least 30+ hours for me with an above average usage. The watch is very light and have a good build quality. If you are using this watch with an android device you can unlock a lot more features. But for me with my iPhone the watch has every I need. It will notify me, helps to find my phone, fitness tracking,..
  Read more"
Santosh Anand,12-Jun-19,Verified Purchase,5 people found this helpful,"Watch is nice and light. 1 star less for battery performance, gives 18-20hrs on modrate usage with Bluetooth and wifi connected.2days without Bluetooth and wifi connected.
  Read more"
Deepak B.,06-Jun-19,Verified Purchase,7 people found this helpful,"Watch is awesome, very light in weight. But problem is with speed I felt it's very slow and battery is also not good is performance.
  Read more"
Vishnu,07-Jun-19,Verified Purchase,2 people found this helpful,"Had a Fossil Q Marshal prior to getting the Sport. It's lighter, faster and looks better than the Marshal. Especially the display.
  Read more"
Soubhagya Panda,14-Jun-19,Verified Purchase,,"All good except the battery ...
  Read more"
Manthan,05-Jun-19,,9 people found this helpful,"Perfect smartwatch for daily use. Very light weight in compare to old fossil smart watches. High quality silicone belts, updated gorrila glass, latest snapdragon processor and good looking aluminum body. RAM is little less if we compare it with latest smasung active. Battery is really impressive, can use it for straight 24 hours. Overall nice watch. I have bought black one which perfectly goes with formal and casual.
  Read more"
Avi,20-Jun-19,,,"The watch is very laggy and hangs often. The main crown functioning is also not proper and reliable.Instead go with samsung watches whose performance, features and smoothness is far better than this.
  Read more"
KOUSTAV H.,08-Oct-18,Verified Purchase,One person found this helpful,"In a country like India , where people prefer brand at times , but considering TATA produced TITAN a low category brand and Rolex , Rado way high above category ... FOSSIL carves its perfect way into the market.Wonderful designing , and looks awesome .
  Read more"
Tushar,16-Nov-18,Verified Purchase,One person found this helpful,"Dark blue colour along with gold , goes so well with formal and casual wears.
  Read more"
Sachin Sharma,08-Nov-18,Verified Purchase,,"This fossil watch does not look so classy.
  Read more"
Ullal,04-Sep-18,Verified Purchase,,"Good.. Leather belt width little big in size..
  Read more"
Sajeev,22-Dec-17,Verified Purchase,One person found this helpful,"Good genuine stylish watch
  Read more"
Purushottam Kumar,03-Mar-19,Verified Purchase,,"Amazing watch!! I’ve received it in a good packaging!!
  Read more"
Mahipal Rautela,27-May-19,Verified Purchase,,"Good product
  Read more"
harshit chauhan,03-May-19,Verified Purchase,,"Its not original. Fake fossils . I wasted my money . Plz dont purchase
  Read more"
Kumaran,09-Jan-19,Verified Purchase,One person found this helpful,"Looks good.A bit large for my hand.
  Read more"
Chirag Jadav,23-May-19,Verified Purchase,2 people found this helpful,"Not satisfied
  Read more"
rohan,19-Jan-19,Verified Purchase,One person found this helpful,"Good
  Read more"
Sante pavan,23-Dec-18,Verified Purchase,,"Nice
  Read more"
Amazon Customer,14-Nov-18,,One person found this helpful,"Beautiful watch, its look very nice. If you like black, than it is best watch.i recommend this if you want to buy
  Read more"
Jerry,14-Oct-18,,One person found this helpful,"Got it from a store, loved it. Looks classy, goes well for regular formal uze
  Read more"
Mani,19-Jun-19,,,"Very good product. Looks stunning and very unique design.
  Read more"
Vimlendra,22-Jun-19,Verified Purchase,,"Nice product with discount ...
  Read more"
Tanishq Dutta,13-Oct-18,Verified Purchase,113 people found this helpful,"0:170:00This video is not intended for all audiences. What date were you born?JanuaryFebruaryMarchAprilMayJuneJulyAugustSeptemberOctoberNovemberDecember12345678910111213141516171819202122232425262728293031201920182017201620152014201320122011201020092008200720062005200420032002200120001999199819971996199519941993199219911990198919881987198619851984198319821981198019791978197719761975197419731972197119701969196819671966196519641963196219611960195919581957195619551954195319521951195019491948194719461945194419431942194119401939193819371936193519341933193219311930192919281927192619251924192319221921192019191918191719161915191419131912191119101909190819071906190519041903190219011900SubmitAdobe Flash Player is required to watch this video.Install Flash Player Recieved it in a very bad condition. A broken watch for ₹7000!!!
  Read more"
Gunner,13-Jul-18,Verified Purchase,49 people found this helpful,"Lesson learnt not to buy such stuff here best to buy from authorised showroom as the chronograph is not working in this watch
  Read more"
Abhishek B,10-Nov-18,Verified Purchase,40 people found this helpful,"I received this watch and have immediately visited the store and checked with them whether it is real or fake. They certified that it is a real one. I suggest you all to do this.
  Read more"
Abhi,20-Aug-18,Verified Purchase,84 people found this helpful,"Its is a fake product.I am posting few pics just have a look
  Read more"
AS,23-Nov-18,Verified Purchase,20 people found this helpful,"Stop watch hands are faulty. Not calibrated to stop at 0. Warranty card missing. I got an used product as the protective tape on the strap was missing. The joints of the strap are discolored.
  Read more"
divya roat,11-Dec-18,Verified Purchase,16 people found this helpful,"I purchased a watch for my husband's birthday but I received a fake watch. It have a fake product number, which starts from FS, any watch from Fossil comes with a series starts from ES not FS.I request all the people to check their watch on back side or go to fossil showroom to check the originality of your watch.This was a very bad thing from Cloudtail. Unexpected.
  Read more"
B,08-Oct-18,Verified Purchase,12 people found this helpful,"I don't regret getting this but i am not happy as well. i've used a digital watch (Apple Watch 1) and a large analog Titan with white dial for a very long time. So, may be this is because of it, the black dial & the watch hands are difficult to read at very first glance. I have used few chronographs before but this is functionally not the best. I would any day prefer to exchange this for a CASIO Edifice. this is my first fossil. again not disappointed just not excited about it.
  Read more"
Ankur Tulasyan,01-Jun-18,Verified Purchase,18 people found this helpful,"color is being eroded
  Read more"
Amazon Customer,23-Sep-17,Verified Purchase,43 people found this helpful,"Watch gets delayed by 5 minutes every one week from day one.  Amazon didn't agree to replace watch. Only option left was to get it repaired but Fossil has just 2 outlets in Hyderabad so I needed to plan a day to visit Fossil outlet. Amazon & Fossil played ping pong between them, initially Fossil said, Amazon need to replace it & Amazon said, Fossil will need to repair it. It required atleast 5 calls to Amazon & 3 calls to Fossil to determine whose responsibility it is. I needed to visit Fossil outlet twice, finally they accepted the watch for repair which will take 30 days. I am still hoping Fossil will accept request for replacement. Be careful before buying Fossil products in India.
  Read more"
Im2famous4u,04-Dec-15,Verified Purchase,81 people found this helpful,"Only one word , beautiful!
  Read more"
Prateek Kumar Das,26-Jan-18,Verified Purchase,10 people found this helpful,"Not what I expected. It's really a great watch but doesn't function how an actual chronograph with tachymeter should. The tachymeter is just only a mere decoration in this watch since the chronograph second hand is not the longer hand rather the smaller dial on the down. Tachymeter is a very useful device apart from being a design. For those who don't know check on the internet
  Read more"
ABHISHEK SINGH,29-Oct-17,Verified Purchase,11 people found this helpful,"Good material good look Heavy chain
  Read more"
Tilak,15-Nov-17,Verified Purchase,9 people found this helpful,"Had heared love at first sight?For me it's my watch... Really it's as beautiful as it looks on web. Got delivered before time.
  Read more"
Ved Prakash,03-Jan-17,Verified Purchase,7 people found this helpful,"It is a Nice watch, Made in India, Haryana factory.Weight of watch is 300 gm. Which is very heavy. Compared to double weight than other watches like Titan octane, regalia, Casio - Edifice etc.
  Read more"
Nawam Arora,11-Nov-18,Verified Purchase,6 people found this helpful,"Build quality is nice, using it since 5 days, no problems faced! Also registered it on fossilcare.com for warranty. Should buy!
  Read more"
Amazon Customer,18-May-17,Verified Purchase,7 people found this helpful,"The product received was damaged, had multiple scratches on the watch and it didn't really look like a new one. Looks like the watch was really old.. Very bad experience..
  Read more"
Prasana Venkatesh,04-Aug-18,Verified Purchase,4 people found this helpful,"Though I got the watch at an offer price of Rs. 5400(and 200 cash back on pay balance) I have a doubt if it's a returned product because the seal was broken during delivery. Though the watch is working properly, it was running when I received the product. So I don't know how long it has been running and fear it may impact on the battery life.
  Read more"
Sachin,23-Jan-18,Verified Purchase,9 people found this helpful,"Good watch
  Read more"
Prashant,13-Oct-18,Verified Purchase,5 people found this helpful,"I was waiting for this Amazon festival and grabbed it at an amazing pricing.The finishing, the design and this color is just superb.Will recommend to buy it.
  Read more"
Kishan,10-Nov-17,Verified Purchase,5 people found this helpful,"Fell in love with this beautiful watch. Very classy to look at. It's even better than the images here. Loving it.Had to get the strap length reduced, even that went smooth in their Showroom.
  Read more"
Amazon Customer,03-Feb-18,Verified Purchase,3 people found this helpful,"Excellent.. got very good deal.. Thanks Amazon and the seller..Fossil FS4721 look wise is very good watch, worth to buy it.It is even better then the image displayed.given 4 star because of the warranty card. the package did not contain any warranty card in box when delivered.overall the product is very good, Very good service by amazon. got the product on time.
  Read more"
Amazon Customer,02-Jul-18,Verified Purchase,6 people found this helpful,"Superb product. Looks same as it looks online.
  Read more"
Siddharth Dixit,08-Feb-18,Verified Purchase,One person found this helpful,"Looks great on your wrist. I am a man who likes a watch rarely since all of the companies are making similar watches, it's hard to select one, something exclusive types. This watch has an elegant black finish to it.Go buy this! One piece of beauty this thing is.
  Read more"
sushma mishra,12-Mar-18,Verified Purchase,3 people found this helpful,"product is not good. and i havent received my refund yet its almost 10 months
  Read more"
Hashim ali,28-Mar-19,Verified Purchase,6 people found this helpful,"Superb .. rich looking value for money
  Read more"
Pam,03-Aug-16,Verified Purchase,4 people found this helpful,"Beautiful watch . Bought it for my father who has a medium sized wrist and he loves it .very well made and looks durable. Its very sleek and not that flashy. Its not that heavy as to be a distraction. The strap is stainless steel and had to remove 2 links for a perfect fit.
  Read more"
Devasuram,19-Apr-19,Verified Purchase,,"Classy
  Read more"
Vishak Pattassery,11-Jun-19,Verified Purchase,,"Love the design!
  Read more"
Anu Kunder,24-Feb-19,Verified Purchase,,"This product is really  nice. It is as shown in the picture. I loved it
  Read more"
Pankaj Mundhra,06-Jun-19,Verified Purchase,,"Excellent product in this rate
  Read more"
J,15-Sep-16,Verified Purchase,One person found this helpful,"Got an old worn out watch. Returned it immediately
  Read more"
Dev,15-Jun-19,Verified Purchase,,"Nice color money worth buy
  Read more"
